date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:45:31	61149/61149	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:15:33%20GMT	https://designcanada.com/	C:/My%20Web%20Sites/deisgncanda/designcanada.com/index.html	(from )
02:45:31	87/87	---MCZ	200	added ('OK')	text/plain	date:Tue,%2010%20Apr%202018%2016:01:08%20GMT	https://designcanada.com/robots.txt		(from )
02:45:32	22727/22727	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Apr%202018%2014:34:42%20GMT	https://designcanada.com/assets/images/placeholders/default.png	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/placeholders/default.png	(from https://designcanada.com/)
02:45:32	1547/1547	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/favicons/apple-touch-icon.png	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/favicons/apple-touch-icon.png	(from https://designcanada.com/)
02:45:33	609/609	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/favicons/safari-pinned-tab.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/favicons/safari-pinned-tab.svg	(from https://designcanada.com/)
02:45:33	1001/1001	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/favicons/favicon-32x32.png	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/favicons/favicon-32x32.png	(from https://designcanada.com/)
02:45:33	522/522	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/favicons/favicon-16x16.png	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/favicons/favicon-16x16.png	(from https://designcanada.com/)
02:45:35	23248/23248	---M-Z	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2008%20Jul%202018%2021:15:36%20GMT	https://designcanada.com/manifest.json	C:/My%20Web%20Sites/deisgncanda/designcanada.com/manifest.json	(from https://designcanada.com/)
02:45:36	23248/23248	---M-Z	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2008%20Jul%202018%2021:15:38%20GMT	https://designcanada.com/browserconfig.xml	C:/My%20Web%20Sites/deisgncanda/designcanada.com/browserconfig.xml	(from https://designcanada.com/)
02:45:36	185831/185831	---M-Z	200	added ('OK')	text/css	date:Mon,%2007%20May%202018%2014:37:39%20GMT	https://designcanada.com/assets/styles/main.css?v=1.6	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/styles/main3cc5.css	(from https://designcanada.com/)
02:45:37	763/763	---MC-	200	added ('OK')	text/javascript	date:Sun,%2008%20Jul%202018%2021:15:38%20GMT	https://www.google.com/recaptcha/api.js?hl=en	C:/My%20Web%20Sites/deisgncanda/www.google.com/recaptcha/apifef7.js	(from https://designcanada.com/)
02:45:38	35266/35266	---MC-	200	added ('OK')	text/javascript	date:Fri,%2018%20May%202018%2001:10:24%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/deisgncanda/www.google-analytics.com/analytics.js	(from https://designcanada.com/)
02:45:38	802/802	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/rofl/5.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/rofl/5.svg	(from https://designcanada.com/)
02:45:38	1175/1175	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/rofl/4.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/rofl/4.svg	(from https://designcanada.com/)
02:45:38	1545/1545	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/rofl/3.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/rofl/3.svg	(from https://designcanada.com/)
02:45:38	939/939	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/rofl/2.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/rofl/2.svg	(from https://designcanada.com/)
02:45:39	250/250	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/rofl/1.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/rofl/1.svg	(from https://designcanada.com/)
02:45:39	177/177	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/berlin_stroke/1.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/berlin_stroke/1.svg	(from https://designcanada.com/)
